Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),          28852.51,          55575.09,          42622.58,          55913.50,          60101.16,          47689.25,          27687.96,          28696.30,          23704.85,          29148.08,          23187.73,          20681.68,          17679.71,          13924.95,          13308.13,          12928.18,           8698.38,           7601.71,           7338.08,           6675.43,           6056.17,           3142.20,           2827.31,           2738.22,            151.42,            164.69,,
,World,Food Products,Export,Export(US$ Mil),          14551.69,          16373.55,          18529.41,          20427.45,          17437.67,          15481.28,          13909.62,          11395.32,          10010.81,           9178.51,           8208.26,           8320.35,           7431.42,           6176.23,           5777.56,           5159.57,           4631.91,           5038.61,           5117.31,           5551.03,           4319.63,           1483.81,            993.30,            758.23,            408.35,            339.93,,
,World,Footwear,Export,Export(US$ Mil),            426.45,            567.30,            704.49,            590.87,            520.16,            735.80,            305.20,            243.87,            229.00,            199.88,            116.79,            157.84,            144.55,            136.30,            138.45,            138.53,            101.26,            100.35,            101.01,             89.48,             75.10,             33.60,             26.07,             22.57,              3.36,              0.40,,
,World,Fuels,Export,Export(US$ Mil),          46942.97,         174669.32,         176506.91,         220417.28,         218724.07,         157067.37,         112906.71,         113087.46,         117806.89,          82270.96,          17751.47,          12380.48,          31382.61,          25752.58,          26700.00,          35259.75,          20845.39,          11176.24,          16037.74,          17641.22,           4484.35,           4245.70,           4934.62,           1630.27,              1.46,              1.60,,
,World,Hides and Skins,Export,Export(US$ Mil),            640.51,           1463.00,           1924.91,           1794.26,           1493.62,           3608.46,            872.95,           1208.59,            886.33,            545.57,            450.01,            419.45,            330.43,            396.98,            419.48,            438.68,            294.79,            309.01,            409.69,            327.39,            431.30,            237.42,            179.80,            174.85,              3.11,              3.10,,
,World,Intermediate goods,Export,Export(US$ Mil),          46197.20,          63013.09,          72391.07,          75657.17,          80121.19,          62765.90,          41577.41,          53269.41,          49248.47,          42473.03,          33026.21,          27947.16,          21747.75,          15363.40,          18040.00,          14492.22,          13844.50,           9739.76,          10849.41,          13464.40,          12450.10,           6863.98,           6130.77,           5460.99,             92.00,             91.94,,
,World,Mach and Elec,Export,Export(US$ Mil),           8617.14,          12020.11,          11491.39,          11713.83,          11888.81,          10181.08,           7233.03,           9856.74,           8770.19,           7007.97,           5589.15,           4786.13,           3831.45,           3118.68,           3068.30,           2730.03,           2396.19,           2211.24,           2071.82,           1809.02,           1512.98,           1020.58,            885.02,            774.25,             10.22,              8.72,,
,World,Metals,Export,Export(US$ Mil),          16657.13,          24476.88,          24028.49,          23334.33,          26288.77,          24161.91,          14668.43,          22434.61,          21554.93,          16714.16,          13091.48,          12265.03,           7887.70,           5897.56,           5652.11,           6177.58,           5012.58,           3275.23,           4032.29,           5400.06,           5691.73,           3140.41,           3048.57,           2686.91,              1.72,              1.57,,
,World,Minerals,Export,Export(US$ Mil),          10319.39,          18352.91,          21121.02,          19627.77,          20093.60,          14805.41,          10757.03,          13356.77,           8950.20,           5854.50,           4815.84,           3948.47,           2257.60,           2621.96,           2468.03,           2424.57,           2113.28,           2251.71,           2103.79,           2116.01,           2043.13,            971.80,           1106.19,           1074.98,             20.55,             22.43,,
,World,Miscellaneous,Export,Export(US$ Mil),           2316.99,           2680.71,           2792.27,           2799.53,           4273.32,           2772.12,           2806.37,           2993.55,           2806.91,           2206.19,           1471.64,           2752.45,           1486.10,           1358.00,            986.65,           4449.93,            974.53,           3409.37,           3576.57,           2485.20,           8447.38,           9774.98,           9366.15,           9097.06,              8.17,              8.11,,
,World,Plastic or Rubber,Export,Export(US$ Mil),           2640.67,           3719.65,           6578.51,          14114.35,          11975.18,           4253.36,           2530.03,           3527.68,           2286.02,           1926.24,           1553.38,           1322.72,           1118.34,            860.21,            791.96,            799.81,            716.78,            903.40,            756.66,            868.93,            643.10,            267.87,            231.35,            271.94,              2.11,              2.54,,
,World,Raw materials,Export,Export(US$ Mil),          77179.97,         198809.86,         221293.66,         255887.35,         246885.05,         179816.22,         139811.71,         145255.54,         144139.99,          93325.43,          32904.38,          26744.18,          43714.32,          36483.20,          37270.97,          46831.80,          30214.11,          21929.79,          29353.61,          28915.93,          14588.71,          10631.11,          10212.81,           4173.56,            515.43,            428.55,,
,World,Stone and Glass,Export,Export(US$ Mil),          23509.56,          31204.42,          39980.56,          43250.14,          45285.76,          28036.37,          19374.58,          22580.69,          22938.50,          19521.65,          16244.39,          12767.82,          11033.69,           6465.93,           9926.14,           6735.54,           4963.68,           2383.92,           4645.53,           4621.73,           3268.95,           3215.09,           3442.39,            889.93,              4.80,              4.39,,
