Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Raw materials,Export,Export(US$ Mil),          25109.08,          32368.95,          35995.78,          34997.75,          32221.58,          24893.60,          18516.15,          21238.56,          18153.39,          14427.39,          13043.39,           9511.70,           6681.91,           5730.44,           4984.95,           4884.05,           4201.03,           3958.27,           4644.86,           4872.32,           4117.14,           3925.85,           3402.67,           2987.85,           3030.41,           3333.37,           2709.83,           2044.29
,World,Stone and Glass,Export,Export(US$ Mil),          41819.34,          44269.54,          47867.74,          47420.83,          53108.29,          35356.20,          35076.61,          22801.34,          21340.24,          17595.91,          17578.99,          13764.95,          11722.99,           9845.73,           7762.80,           8531.80,           8157.57,           6267.84,           5490.91,           5108.11,           5631.90,           5078.87,           4456.71,           3798.36,           3008.18,           3162.22,           3330.67,           3067.24
,World,Textiles and Clothing,Export,Export(US$ Mil),          55431.36,          57910.87,          58893.06,          50128.06,          73109.24,          59484.56,          48890.44,          50151.68,          45700.08,          43001.70,          37924.47,          32863.23,          29249.11,          18443.93,          17756.81,          19155.08,          12755.04,          13585.13,          12652.08,          11906.58,          10599.47,          10918.37,           8843.10,           8383.49,           6940.00,           6654.96,           4911.20,           3148.86
,World,Transportation,Export,Export(US$ Mil),          22428.98,          26195.53,          21964.34,          18538.07,          20262.66,          15635.56,          11014.99,          10560.16,           6577.92,           4917.83,           4251.73,           3289.60,           1897.77,           1314.86,           1132.54,           1029.55,            834.61,            772.68,            942.47,            978.66,            924.76,            782.69,            599.03,            609.86,            525.76,            430.35,            350.17,            249.94
,World,Vegetable,Export,Export(US$ Mil),          22564.12,          27615.91,          28975.97,          29050.93,          23281.88,          15066.07,          12638.60,          15287.24,          11050.10,           8667.51,           8512.99,           6987.12,           5825.83,           4710.11,           4229.03,           4085.44,           4458.72,           4102.80,           3616.40,           3490.83,           3838.72,           2871.44,           2514.76,           2253.80,           2436.06,           2453.84,           1943.68,           1556.41
,World,Wood,Export,Export(US$ Mil),           2149.89,           2142.01,           2149.99,           1807.61,           1957.61,           1450.52,           1118.43,           1216.16,           1059.08,            868.07,            808.47,            604.43,            484.29,            414.92,            319.89,            305.68,            236.62,            177.62,            163.74,            209.67,            202.84,            210.00,            158.48,             97.42,             83.29,             65.56,             49.68,             39.97
,World,All Products,Export,Exports (in US$ Mil),         298285.55,         355178.54,         373281.89,         325540.63,         362971.77,         271107.00,         218861.81,         227011.32,         185323.42,         157139.67,         132306.82,         103187.08,          83327.65,          60328.96,          54067.80,          53973.81,          42091.44,          38856.06,          38881.42,          37066.51,          35155.61,          32474.22,          27402.77,          25106.88,          21577.32,          21409.22,          18373.04,          13872.44
,World,Capital goods,Import,Import(US$ Mil),          94183.73,          86308.88,          84702.38,          88855.75,          94738.39,          79318.25,          69890.21,          79285.52,          60665.39,          54126.22,          39615.56,          28426.52,          20464.33,          12822.21,          10463.59,          10761.52,           8991.73,           8410.84,           8885.14,           8526.66,           8008.02,           6353.47,           5740.42,           4857.09,           3882.78,           5308.39,           4764.08,           3610.09
,World,Consumer goods,Import,Import(US$ Mil),          64839.48,          72701.08,          67048.67,          72209.13,          74243.79,          54850.25,          43092.13,          53533.64,          40096.72,          31817.37,          25283.67,          18343.67,          15046.77,           8723.23,           7296.12,           8979.78,           9637.41,           8868.22,           7942.87,           8581.73,           7560.25,           5941.81,           4608.54,           4902.93,           4058.05,           4926.41,           3251.94,           2152.02
,World,Intermediate goods,Import,Import(US$ Mil),         159615.83,         157053.16,         156288.88,         169078.92,         204958.26,         159162.03,         115034.54,         118718.19,          85171.71,          67727.24,          60497.60,          44060.26,          33868.11,          23092.82,          22846.17,          21250.02,          18080.19,          18908.92,          17674.75,          13956.24,          14349.96,          11494.02,           9488.13,           9361.16,           8084.67,           8925.94,           7683.75,           6040.74
,World,Raw materials,Import,Import(US$ Mil),         134787.10,         209740.97,         216710.61,         216661.99,         191484.21,         136532.34,         102673.98,         134866.19,          90852.35,          77976.03,          60462.26,          44620.23,          33779.19,          26006.18,          22820.05,          26442.20,          19268.99,          11886.60,          12088.24,          12230.61,           9652.72,           8489.92,           9011.29,          10607.73,           8044.16,           9111.34,           7786.41,           6330.92
,World,All Products,Import,Imports (in US$ Mil),         469950.39,         543438.83,         544490.95,         565443.23,         581668.86,         442643.01,         339248.53,         400952.48,         281842.28,         234845.32,         188027.71,         136796.35,         104411.53,          73099.00,          64517.97,          68675.83,          57280.83,          51244.54,          48562.73,          45639.77,          42298.38,          34340.19,          30663.47,          31338.69,          25735.78,          29865.04,          24673.12,          19350.90
,...,...,Development,"GNI per capita, Atlas method (current US$)",   1534.61,   1492.58,   1452.50,   1406.42,   1297.83,   1161.39,   1060.28,    961.74,    886.66,    779.33,    701.19,    605.82,    519.69,    465.36,    458.93,    451.23,    443.58,    423.11,    421.66,    413.37,    381.57,    355.35,    341.31,    355.81,    354.49,    383.08,    386.26,    389.15
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     41.34,     47.31,     51.46,     53.01,     53.00,     47.45,     45.26,     51.87,     45.49,     45.15,     41.74,     37.51,     32.34,     31.08,     28.16,     28.75,     27.18,     26.44,     25.86,     25.36,     26.11,     23.34,     23.26,     21.88,     20.25,     19.39,     18.66,     17.23
,...,...,Development,Trade Balance (% of GDP),     -3.66,     -4.12,     -4.21,     -7.36,     -7.00,     -5.17,     -6.06,     -6.45,     -5.00,     -4.36,     -3.67,     -2.32,     -1.42,     -1.53,     -1.38,     -1.46,     -2.23,     -1.92,     -2.02,     -2.08,     -1.92,     -1.21,     -1.23,     -1.52,     -0.85,     -2.58,     -2.43,     -2.68
,...,...,Development,Trade in services (% of GDP),     10.56,     10.97,     11.35,     11.48,     11.17,     11.25,     10.37,     12.71,     12.32,     12.52,     11.40,      9.81,      7.88,      7.59,      7.40,      7.27,      6.81,      6.26,      5.68,      5.49,      5.67,      5.31,      5.11,      5.00,      4.86,      4.12,      4.03,      3.63
,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,      4.18,      5.16,,      5.00,      6.72,,,,,,,,,,,
,Belgium-Luxembourg,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,      3.90,,,,
,Belgium-Luxembourg,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,      5.70,      5.57,,,,      6.55,      6.83,      5.76,,      6.81,      7.30
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.97,      4.48,      5.15,      5.38,      5.21,      7.10,      5.29,      4.83,      5.59,      5.82,      5.83,      4.34,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     16.69,     13.49,     11.39,     11.48,     11.87,     12.28,     11.77,     10.59,     11.51,      9.34,      8.07,      7.00,      5.91,      5.07,      4.56,,,,,,,,,,,,,
,German Democratic Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      6.56,      5.95,      6.11
,German Democratic Republic,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      6.39,      6.93,      8.66
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      4.18,      4.06,      4.26,      4.23,      4.50,      4.86,      5.13,      4.70,      4.74,      5.10,      4.94,      6.20,      5.83,      5.91,      6.36,      7.39,      7.12,      7.83,      7.34,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      3.87,,,,,,,,,,,,      5.63,      6.51,      7.76,      6.96,      6.59,      6.65,      6.86,,,
,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,      4.20,      3.91,      3.81,      3.83,,      3.82,,,,,,,      4.95,      4.11,      4.75,      5.38,      6.10,      4.99,      5.16,      5.25,      5.51,      5.00,      4.86,,,,,
,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,      3.98,,,,,,,,,,,,,,,,,,,,
