Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,"GNI per capita, Atlas method (current US$)",  24274.95,  25641.31,  25665.41,  25052.58,  24829.27,  24421.74,  24208.09,  24496.81,  22537.11,  20789.44,  19194.96,  16553.73,  13597.40,  12015.58,  12084.90,  12498.67,  12411.30,  12533.26,  12922.46,  12698.61,  11982.31,  11481.82,  11287.29,  11466.44,  10395.52,   9780.00,   9109.09,   8529.89
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     80.91,     80.35,     80.28,     80.52,     79.36,     74.51,     67.79,     76.53,     74.81,     73.92,     70.19,     67.72,     65.31,     66.24,     68.48,     69.40,     62.80,     61.16,     60.43,     57.29,     56.95,     54.11,     52.96,     56.59,     50.28,     51.42,     52.74,     50.97
,...,...,Development,Trade Balance (% of GDP),      3.58,      2.93,      2.68,      2.27,      1.57,      1.56,      1.65,      1.27,      1.49,      1.67,      1.94,      2.10,      1.89,      2.25,      1.94,      1.88,      1.87,      1.34,      1.39,      1.31,      1.30,      1.38,      1.27,      0.96,     -0.13,     -0.46,     -0.76,     -0.54
,...,...,Development,Trade in services (% of GDP),     21.82,     20.52,     19.56,     18.79,     18.00,     17.82,     17.59,     17.72,     17.27,     16.88,     16.42,     15.37,     14.85,     15.26,     15.07,     14.76,     13.44,     12.25,     11.76,     11.08,     10.84,     10.81,     11.06,     10.65,     10.11,     10.21,     10.08,      9.82
,Belgium-Luxembourg,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,      6.67,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,      8.79,      8.15,      7.68,      7.70,      7.82,      8.26,      7.33,      6.69,      6.46,      5.75,      5.35,,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.90,      7.02,      7.08,      7.20,      7.64,      7.79,      8.35,      7.88,      7.98,      8.32,      8.50,      8.65,      8.82,      8.68,      8.90,      9.08,      9.17,      8.27,      7.98,      8.32,      8.78,      8.89,     10.21,     11.24,     12.51,     12.45,     12.19,     11.78
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.60,      5.60,      5.54,      5.47,      5.62,      5.88,      6.31,      6.14,      6.46,      6.70,      6.94,      7.47,      7.81,      7.81,      7.82,      7.78,      8.41,      8.09,      7.93,      7.97,      8.31,      8.38,      9.53,     10.30,     11.62,     10.97,     10.72,     11.18
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,     12.07,     12.10,     11.70,     11.76,     11.94,     12.08,     12.32,     12.06,     12.08,     12.40,     12.39,     12.72,     12.93,     12.79,     13.32,     13.27,     13.48,     13.37,     13.10,     13.50,     14.41,     14.10,     11.45,     11.07,      6.84,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,     13.44,     13.19,     12.95,     12.78,     13.34,     13.57,     13.89,     14.01,     14.64,     14.29,     14.64,     15.10,     15.10,     14.79,     14.23,     13.76,     14.60,     14.52,     14.11,     14.49,     15.32,     14.82,     11.98,     11.93,      8.46,      9.69,      9.79,      7.80
,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      5.76,      6.04,      5.87,      6.02,      6.02,      6.14,      6.23,      6.08,      6.01,      6.01,      5.94,      5.91,      5.81,      5.69,      6.02,      5.98,      6.14,      7.97,      8.65,      8.79,      8.73,      8.59
,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,      5.29,,,      5.57,      5.74,      5.69,,,      6.07,      6.51,      6.47,      6.75,      6.75,      6.68,      6.72,      7.89,      9.00,      9.19,      8.79,      9.20
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.01,      5.38,      5.42,      5.66,      5.48,      5.53,,,,,,,,,,,,,,,,,,,      6.87,      6.81,      6.74,      7.51
