Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,      8.83,      8.89,      8.71,      7.79,      8.06,      7.75,      6.66,      4.49,      4.84,      3.41,      3.37,      3.05,      2.98,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     17.87,     16.57,     15.81,     14.99,     14.57,     14.17,     12.40,     11.13,     10.07,      9.00,      7.21,      6.57,      5.15,      3.73,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      3.65,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,      2.78,      2.79,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,      2.05,,,      1.97,      2.65,      2.71,,,      3.05,      3.38,      3.20,      3.72,      5.10,      4.61,      4.42,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.92,      3.96,      4.03,      3.94,      4.08,      4.10,      4.35,      4.11,      3.89,      3.81,      4.15,      4.12,      4.19,      4.34,      4.27,      3.93,      4.59,      4.89,      4.77,      5.12,      5.69,      5.51,      5.45,      5.21,      6.65,      6.73,      7.89,
,Iraq,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      8.21,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,      1.92,      2.10,      2.20,      2.41,      2.42,      3.16,      3.46,      4.06,      4.05,      4.16,      4.96,      7.10,      7.68,      6.80,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.39,      3.24,      3.26,      3.49,      3.54,      3.96,      3.84,      4.16,      4.42,      4.59,      4.69,      4.61,      4.27,      4.97,      4.59,      3.98,      4.23,      4.89,      4.81,      4.71,      5.49,      6.15,      5.95,      5.98,      6.44,      6.08,      7.80,
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,      2.26,      2.53,,,,,      2.59,      2.83,      2.90,      2.44,      2.34,      2.60,      2.82,      2.14,,,,,      2.66,      2.92,      2.85,      3.46,      3.59,      3.10,      3.93,      4.82,      7.92,
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,,,      3.14,      2.56,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,      3.08,      3.61,,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,     45.79,     42.88,     37.27,     36.49,     35.09,     36.87,     37.05,     40.50,     44.01,     48.12,     49.84,     53.12,     54.07,     56.76,     55.59,     58.37,     57.27,     51.94,     48.82,     48.55,     45.88,     46.15,     46.54,     47.63,     38.31,     41.30,     22.22,
