Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         313598.61,         363523.16,         346041.49,         338265.37,         331755.02,         289418.96,         236480.91,         353782.67,         331601.97,         316556.51,         302195.42,         267804.20,         233380.46,         220072.35,         227244.37,         241728.90,         205020.27,         181853.78,         176882.02,         161108.66,         151431.55,         135932.27,         116696.39,         104064.38,          95501.39,          95219.06,          85338.10,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         223808.57,         252436.45,         241298.82,         234676.89,         223797.59,         198242.76,         164951.31,         214861.87,         207257.61,         192942.44,         178395.77,         160827.01,         145755.35,         139278.67,         140999.52,         154497.37,         144425.24,         137306.13,         133547.62,         114535.73,         110261.03,         100226.30,          88041.70,          79822.73,          75265.21,          75233.70,          74532.78,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     1779018237.48,     1851426175.51,     1764370344.72,     1746987825.32,     1742821238.40,     1530990171.14,     1223920658.22,     1664158225.00,     1512272620.07,     1460987261.09,     1285163621.41,     1149278558.31,      956458158.89,      847577373.30,      843054385.84,      900855423.61,      750884681.51,      450390493.69,      436655803.70,      359943541.63,      343711707.97,,      213385530.74,      130128121.93,      117712687.42,      116962619.00,      133110207.64,
,World,Animal,Export,Export(US$ Mil),          36965.12,          43497.91,          40070.18,          37937.49,          36850.18,          30658.74,          25944.19,          30772.28,          25863.10,          22293.01,          21095.24,          17970.57,          18829.13,          18145.45,          19258.17,          18209.70,          15859.73,          15039.50,          16200.61,          16077.49,          15420.35,          13418.38,          12495.41,          12693.71,          11372.38,           3898.67,           3299.25,
,World,Capital goods,Export,Export(US$ Mil),         587917.86,         608465.24,         587941.35,         589401.21,         561299.31,         508369.93,         430035.14,         602302.88,         592852.41,         553543.12,         492030.11,         450806.68,         401792.11,         397123.75,         428375.77,         475712.40,         417941.92,         398036.91,         391315.27,         340700.38,         312419.87,         278495.37,         247399.03,         235036.86,         218921.15,          32134.86,          30146.93,
,World,Chemicals,Export,Export(US$ Mil),         189225.13,         192311.52,         191630.00,         190515.29,         191248.41,         174876.05,         150988.46,         170847.91,         146473.66,         127270.63,         112701.10,         103052.41,          85309.29,          75442.10,          74288.76,          74245.32,          67140.58,          64369.31,          65849.35,          58769.74,          57401.11,          49011.44,          43325.97,          42538.49,          40989.81,           5454.79,           5102.08,
,World,Consumer goods,Export,Export(US$ Mil),         502009.62,         564005.65,         546460.87,         524079.59,         490200.98,         414282.18,         338087.53,         435501.08,         385095.58,         351254.78,         322377.12,         281040.06,         249816.36,         230489.90,         235079.73,         241472.80,         213060.57,         198330.67,         198053.15,         182545.78,         166932.38,         154336.54,         137181.52,         124510.14,         112814.06,          29147.41,          26931.92,
,World,Food Products,Export,Export(US$ Mil),          57389.92,          58259.56,          56466.40,          51916.43,          48424.08,          41426.63,          35982.44,          37468.19,          32922.54,          29679.40,          26774.65,          25557.63,          24386.45,          22809.73,          24183.11,          24005.45,          22964.69,          24243.92,          25020.64,          23456.35,          21594.60,          20994.14,          19061.18,          18629.04,          16994.60,           1958.30,           1614.19,
,World,Footwear,Export,Export(US$ Mil),           2334.52,           2277.42,           2166.71,           2085.63,           2005.14,           1746.64,           1527.45,           1714.60,           1487.36,           1394.78,           1241.94,           1106.01,           1100.79,           1125.86,           1234.70,           1298.60,           1240.47,           1240.74,           1334.67,           1265.12,           1161.83,           1127.21,           1020.99,            958.91,            876.49,             96.38,             78.29,
,World,Fuels,Export,Export(US$ Mil),         183740.83,         284441.23,         269348.99,         253747.92,         246629.37,         173828.40,         127003.94,         202570.46,         129279.82,         112420.22,          99221.30,          71831.30,          57980.55,          43609.50,          50240.85,          49982.55,          30232.76,          27791.85,          34673.90,          33455.06,          27898.11,          25115.46,          25030.36,          25075.62,          25984.94,          12691.68,          10654.70,
,World,Hides and Skins,Export,Export(US$ Mil),           6642.33,           7338.76,           7649.30,           6641.69,           6217.48,           5333.12,           3831.70,           5140.32,           5364.81,           5195.47,           4802.54,           4501.03,           4003.19,           3830.88,           4171.63,           3936.14,           3240.12,           3333.43,           3875.65,           3680.87,           3608.37,           3281.26,           3034.38,           3023.39,           2987.34,            511.46,            518.83,
,World,Intermediate goods,Export,Export(US$ Mil),         399965.85,         433793.07,         441535.80,         438019.52,         447430.44,         378273.53,         295667.78,         406018.80,         362113.27,         318142.47,         277840.71,         249332.10,         207921.28,         192896.14,         200888.80,         211166.77,         190561.90,         188899.31,         194325.94,         180306.21,         179489.78,         149353.58,         136098.42,         129692.66,         127364.90,          39343.29,          38514.35,
,World,Mach and Elec,Export,Export(US$ Mil),         411045.12,         430321.10,         417862.35,         419312.90,         411937.89,         377107.38,         318354.22,         417528.71,         399188.29,         376327.86,         340677.95,         313572.62,         277482.98,         274183.61,         304336.83,         352194.16,         295098.05,         278171.59,         284021.90,         250197.22,         231592.09,         197210.01,         169919.16,         156117.55,         146025.95,          16445.78,          14697.17,
,World,Metals,Export,Export(US$ Mil),          98818.34,         112665.60,         111824.08,         115924.95,         118831.10,         100033.44,          76827.94,         116835.39,         106940.09,          90607.45,          71403.21,          60221.17,          48045.93,          44616.30,          44486.05,          49065.63,          42218.49,          43273.68,          44792.95,          41385.63,          41373.08,          32437.07,          28496.06,          28155.70,          28918.64,          10172.71,          10246.53,
,World,Minerals,Export,Export(US$ Mil),          17410.41,          21095.61,          19595.44,          19872.07,          20787.00,          15179.08,          11254.76,          17957.95,          14304.13,          12472.44,           9543.10,           6312.69,           5351.56,           5010.55,           5185.10,           5404.60,           4962.01,           5271.44,           6134.88,           5797.84,           6307.15,           4845.44,           4509.44,           5661.68,           5912.78,           4041.73,           3942.54,
,World,Miscellaneous,Export,Export(US$ Mil),         323216.21,         314756.07,         298746.00,         282824.11,         255639.54,         238581.58,         220283.23,         168863.55,         162595.23,         148398.37,         134829.20,         124322.79,         110531.12,         107803.23,         114820.65,         116539.74,          99460.84,          93960.30,          88971.10,          80151.63,          73352.84,          66820.92,          60191.17,          57379.67,          53818.63,           8929.18,           4991.33,
,World,Plastic or Rubber,Export,Export(US$ Mil),          90048.68,          95316.59,          92734.68,          91360.46,          90301.15,          80326.80,          64545.60,          78972.03,          74751.53,          68496.27,          61704.96,          54453.06,          46827.96,          43963.36,          43619.49,          45146.68,          38683.73,          36723.65,          36748.22,          32427.20,          30366.80,          25762.75,          21941.03,          20663.03,          19446.77,           3200.58,           2638.31,
,World,Raw materials,Export,Export(US$ Mil),         231096.09,         303650.70,         284930.63,         287082.29,         288322.78,         228492.46,         180694.05,         248154.70,         178784.97,         144564.43,         118605.18,         104242.77,          90005.78,          78423.21,          78844.90,          81257.29,          68487.23,          71300.18,          83876.84,          88445.53,          84551.53,          67980.82,          63676.46,          68407.01,          66595.34,          20069.51,          17783.37,
,World,Stone and Glass,Export,Export(US$ Mil),          89114.81,          97985.29,         105889.00,         105740.14,         108487.16,          81430.37,          57860.60,          74446.29,          60591.23,          49465.68,          36946.27,          31650.24,          26591.72,          23731.30,          24963.71,          26633.50,          22442.87,          21379.00,          21613.21,          21243.43,          18487.56,          17946.87,          19922.36,          14449.34,          13108.70,           2973.18,           3091.90,
,World,Textiles and Clothing,Export,Export(US$ Mil),          28053.85,          29378.60,          29929.68,          29826.27,          31983.16,          26614.50,          20972.06,          25839.24,          25893.63,          26791.80,          26133.09,          26277.93,          24577.47,          23350.13,          24000.23,          26181.56,          23114.49,          24769.99,          24655.23,          21985.32,          21011.26,          17461.46,          14623.36,          13997.98,          13192.74,           1068.40,            881.20,
