Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Footwear,Export,Export(US$ Mil),          88819.15,          94794.62,          85426.00,          79028.58,          72383.78,          61063.76,          48454.57,          52922.78,          46564.80,          41704.98,          37543.07,          32566.12,          29065.66,          26378.92,          25810.22,          26471.41,          22977.43,          22980.21,          25676.68,          25080.73,          24843.99,          22598.50,          20315.24,          11733.74,           6775.72,           6539.84,           5101.02,           4181.95
,World,Fuels,Export,Export(US$ Mil),         219113.78,         375265.63,         391062.59,         403613.03,         396366.87,         292571.57,         216638.98,         316795.01,         203639.68,         186159.27,         151240.62,         114395.57,          85170.99,          71744.14,          73185.71,          75528.78,          49300.07,          47634.80,          62516.03,          56677.76,          46233.76,          43844.03,          44356.83,          44254.21,          38390.61,          36189.22,          27357.95,           6210.98
,World,Hides and Skins,Export,Export(US$ Mil),          53196.11,          54257.67,          54374.39,          50023.58,          47529.02,          38373.01,          29349.24,          33948.05,          32034.45,          30317.97,          30050.74,          27749.93,          24186.89,          21263.72,          21487.60,          20991.28,          17667.28,          17582.75,          19578.89,          19121.02,          18848.88,          16999.03,          14454.42,           8346.47,           5343.68,           5564.91,           5526.05,           4133.10
,World,Intermediate goods,Export,Export(US$ Mil),         927648.56,        1067440.17,        1055467.32,        1030986.07,        1022206.88,         824136.63,         622647.96,         796878.30,         686741.50,         574818.85,         476635.36,         423433.89,         331102.11,         275596.47,         257342.90,         277073.89,         240536.83,         242719.15,         262136.62,         247636.26,         249150.47,         200391.23,         173039.13,         135131.15,         107915.46,          97772.33,          95144.68,          66864.66
,World,Mach and Elec,Export,Export(US$ Mil),        2098173.46,        2145882.67,        2091411.91,        1997461.15,        1926203.95,        1755307.87,        1364062.55,        1592585.01,        1493894.29,        1305763.72,        1131991.29,         997850.88,         789395.28,         648991.99,         588003.74,         673891.20,         540465.22,         481742.27,         511109.86,         496154.15,         488694.40,         395662.58,         321329.75,         249594.83,         215131.33,         189843.66,         176029.80,         135161.78
,World,Metals,Export,Export(US$ Mil),         332146.32,         372629.11,         343425.22,         349069.73,         353517.03,         289287.34,         213907.64,         330657.85,         280639.16,         224018.60,         169771.15,         140900.39,          97849.62,          80265.91,          74331.22,          81480.78,          70060.42,          72284.23,          76167.78,          70412.65,          76049.98,          57916.80,          52370.60,          43491.38,          37264.57,          35057.72,          37929.09,          31196.19
,World,Minerals,Export,Export(US$ Mil),          60895.18,          90589.64,          99451.09,          86212.21,          97890.14,          73114.93,          42631.63,          48572.11,          37533.92,          31661.34,          23633.59,          15163.82,          12393.29,          10404.57,          10714.50,          11171.93,           9219.31,          10375.01,          10597.24,          10349.26,           9027.71,           6878.07,           6634.75,           6788.04,           5724.83,           5278.55,           4807.32,           3282.34
,World,Miscellaneous,Export,Export(US$ Mil),         489272.83,         507743.40,         495407.03,         491750.70,         447562.88,         404997.55,         312355.32,         376220.78,         316159.96,         274715.42,         238168.11,         201934.72,         164740.81,         142943.18,         139682.34,         149911.36,         126197.89,         121381.12,         124170.84,         107687.83,         105219.20,          88633.71,          76851.71,          52153.29,          41745.94,          36681.99,          33454.42,          28131.14
,World,Plastic or Rubber,Export,Export(US$ Mil),         227722.71,         260840.43,         260356.03,         257992.35,         256522.47,         206440.17,         147425.97,         174540.10,         156160.68,         136141.27,         115370.59,          96401.78,          76027.52,          63216.57,          56384.58,          61766.77,          52652.30,          50151.63,          53243.72,          51607.02,          53185.56,          39656.80,          33015.64,          24424.63,          20232.10,          18587.59,          18069.03,          10416.25
,World,Raw materials,Export,Export(US$ Mil),         236299.04,         343292.69,         361410.93,         362288.09,         384034.49,         294682.88,         214276.15,         261308.00,         196041.33,         181346.42,         152194.01,         125376.62,         101537.73,          89802.23,          88038.78,          88203.69,          67834.49,          70390.51,          81215.68,          79838.80,          73529.62,          67804.89,          61268.69,          62573.14,          49166.71,          48438.42,          46145.44,          20070.53
,World,Stone and Glass,Export,Export(US$ Mil),         224657.93,         270559.61,         276896.00,         250862.42,         208470.96,         149866.59,         116222.83,         117071.19,          93538.28,          80356.21,          62164.49,          59068.72,          47894.29,          36769.68,          33268.00,          34734.03,          32071.48,          39158.46,          35543.29,          33457.99,          29558.23,          24015.88,          19665.97,          15630.52,          12009.89,          11148.29,           9728.64,           6754.27
,World,Textiles and Clothing,Export,Export(US$ Mil),         373961.17,         405679.48,         390742.86,         359279.53,         357627.21,         302389.48,         249936.90,         283594.56,         271241.42,         240442.89,         205886.90,         185589.89,         162843.82,         143784.47,         136929.79,         143566.04,         124661.30,         121968.01,         132943.13,         122990.49,         121532.56,         114798.39,         100939.77,          68396.69,          40049.42,          33909.33,          33558.36,          23761.59
